location	distance	lucky_number
sxk3qd	23.71821414	0
sxk9dc	8.32683043	435
sxk9jh	14.3312249	0
sxk9w1	8.828087585	170
sxk91h	18.5609953	1509
sxk3ew	32.50511392	1504
sxk92c	17.05408781	0
sxkdt0	13.09620731	0
sxkbfz	29.39635202	0
sxk91m	17.49850829	0
sxk6xd	22.51206102	1040
sxk6t1	29.97815256	407
sxk9mk	9.864425749	0
sxk90g	19.62845333	0
sxkc0b	23.35548465	647
sxkc2q	16.6751005	0
sxk8zh	21.46889511	1520
sxkbd8	34.93001484	0
sxk3m2	28.41457575	659
sxk3j6	30.10914472	716
sxk367	38.26112286	1036
sxk3hx	31.19530341	204
sxkc3h	19.69196163	0
sx7cxs	76.72442516	0
sxk4r8	47.73356405	0
sxk3ff	35.12400887	0
sxk9qk	11.7200363	55
sxkb8f	30.03400755	113
sxk9r2	15.98720711	64
sxkcex	26.73792408	0
sxk9c6	11.17759289	0
sxk929	17.76766892	113
sxk655	34.52976494	0
sxkbdc	35.09308753	0
sxk9rn	12.81613746	726
sxkbm6	44.68619105	1180
sxkb90	31.56394785	1628
sxk90e	20.25183356	901
sxk9jx	13.05053648	0
sxkbk3	42.45976931	0
sxk6ms	27.03432668	1084
sxk91k	17.97372504	0
sxk93s	13.76210415	0
sxk3qw	22.74750977	0
sxk9ms	10.23570304	0
sxk3g4	34.20268133	977
sxkbhm	44.2577075	0
sxk6p2	18.7747938	914
sxkcv1	32.17500902	989
sxkcej	25.05574508	738
sxk3yg	20.37384824	0
sxkf42	22.21687099	0
sxk3nw	24.89222071	0
sxk652	33.40565506	0
sxk6g7	38.55348922	0
sxk9r0	15.36944677	868
sxkcen	24.97207926	0
sxk99x	10.53183549	672
sxkd1k	12.43104876	0
sxk3zx	17.77323395	0
sxkdkf	9.318282923	0
sxk1tx	54.53190632	0
sxk3k8	30.95924828	0
sxkdj4	5.025339888	0
sxk3zr	18.68630697	0
sxk3fd	36.04534402	720
sxk8xp	24.21397409	840
sxk3kz	28.7171871	1552
sx7cw9	80.53462384	745
sxk97h	10.32731554	0
sxk6q7	24.25478963	0
sxk3s6	30.10984735	1114
sxkc39	22.19411867	268
sxk96v	10.26285523	0
sxk9jf	16.23972229	1219
sxk3qb	23.47628418	0
sxk9ye	8.190914886	0
sxk4jh	56.5554593	0
sxk9bf	13.0180486	272
sxkc44	26.07648896	0
sxkc98	20.40372137	0
sxk9j9	16.5423581	0
sxk920	19.60521848	0
sxk3pq	22.56848726	0
sx7fwj	83.54391238	901
sxk3r4	22.07608802	1519
sxk656	33.53629247	0
sxkc64	23.53479618	0
sx7fqv	80.0439173	0
sxkbkx	40.57830641	633
sxk9qv	12.5186112	0
sxkdr7	14.67069296	0
sxk97q	8.822169883	0
sxkc21	17.60787205	89
sxk3zh	19.46064912	433
sxk3we	21.86077909	1417
sxk6q5	25.10041354	0
sxk19y	68.37210995	0
sxkd1e	11.33593587	0
sxk98h	16.34635715	0
sxkc41	26.44069534	0
sxkd86	20.42670374	0
sxk9vb	5.734523873	0
sxk6t0	29.71016749	767
sx7cw9	80.53462384	0
sxk3k2	31.81570317	1207
sxk9b6	14.85912568	724
sxk9t5	5.585105465	0
sxk372	35.27467374	0
sxk6xe	22.8979986	1120
sxk3hv	30.86515754	0
sxk8zn	20.39575208	1264
sxk3wt	21.61725956	0
sxkb79	40.58784113	0
sxk9qn	10.18862992	0
sxk3yg	20.37384824	1499
sxk1ch	71.05246142	0
sxk3bt	43.42296823	18
sxk9d2	10.06896613	0
sxk3xx	17.78390195	0
sxk9s8	6.79333156	0
sxk3ng	25.13569877	9
sxk9tf	7.742646619	403
sxk9nd	17.36232689	0
sxk9dq	8.082921534	0
sxk3sp	30.61407896	1490
sxkbv7	38.47195149	677
sxk1v1	56.32836995	660
sxk19q	70.21354527	0
sxkc0h	19.66903485	0
sxk9dx	7.001008099	0
sxk9n7	16.39598169	0
sxk921	19.24807414	0
sxk377	34.70881795	0
sxk3nw	24.89222071	345
sxk3rx	19.09200105	1213
sxkbm6	44.68619105	1214
sxkbg6	32.71239741	0
sxk66w	37.83204782	412
sxkc3u	22.17595964	0
sxk1bz	72.0032972	0
sxk3hx	31.19530341	908
sxkdre	15.37007953	0
sxk9e3	7.208615645	0
sxk90w	18.96176129	0
sxkc20	17.99745395	0
sxkdm0	8.365921585	0
sx7ghm	92.05398658	0
sxk9jf	16.23972229	0
sxk9p4	18.30591671	598
sxkdqg	13.35277217	0
sxk3zs	17.61878913	0
sxk9r2	15.98720711	141
sxkbgv	33.12953078	0
sxk9fs	6.578785508	96
sxk9fx	6.986672907	0
sxk6px	19.06217547	0
sxk98f	14.13031539	0
sx7ghm	92.05398658	159
sxkbmk	43.87303481	0
sxk6sz	32.56579489	1446
sxk3k8	30.95924828	0
sxk1fb	64.6375594	0
sxkc2g	19.187028	1299
sxkbsc	40.48445293	0
sxk986	15.84374243	0
sxk1ru	47.10814549	0
sxk93h	15.18480003	0
sxk9m9	11.91026442	0
sxk93v	12.66818734	82
sxk3gm	33.29306881	0
sxk3p6	24.04856122	64
sxk1bd	72.90157881	0
sxk90m	20.05544997	0
sxk6u1	35.55786467	0
sxk9j5	14.93248072	378
sxk6k6	30.95431756	0
sxk3nt	25.21426869	0
sxk1u5	59.99574532	0
sxk1dz	64.66066712	1543
sxkbk7	41.58560264	0
sxk6x5	24.34095171	1516
sxk9qf	13.84098215	0
sxk3gq	33.31942038	518
sx7fw3	82.21893374	1417
sx7ghq	92.22276061	704
sxk3xc	17.78563448	0
sx7fms	84.53260862	0
sxk1w6	52.01607234	0
sxkbkm	40.7293972	1431
sxk6qt	23.94912166	0
sxk9n6	16.94623242	1196
sxk97r	8.274099199	0
sxk3hs	31.96324962	0
sxk3w6	22.9005064	0
sxk99j	12.63366793	0
sxk3f7	36.95979231	0
sxk1gh	63.6815887	0
sxk3kd	30.5184303	0
sxk691	43.64771855	69
sxk99c	11.15681218	0
sxk99x	10.53183549	0
sxk3wg	20.96359402	0
sxk3nu	24.78254031	0
sxk9zj	10.10509139	0
sxkd1u	10.80854145	1123
sxk90m	20.05544997	1474
sxk9nw	15.24945974	576
sxk9jv	14.52370675	401
sxk8yt	20.10984775	0
sxk993	12.73737971	0
sxk970	12.55372523	0
sxk9jv	14.52370675	0
sxk456	62.88630299	166
sxk6nv	21.2584274	0
sxk4pc	46.30676421	0
sxk9s3	6.133077207	0
sx7cmx	84.31650728	172
sxkc6h	23.01825962	0
sxkcvv	34.93060279	0
sxkbg8	34.19725727	480
sxkd49	7.499419983	0
sxkdjp	7.788672452	0
sxk3f6	36.96668621	0
sxk92y	15.25485825	888
sxkcu2	29.44605606	0
sxk9ys	8.212057747	0
sxkc5r	28.48672652	0
sxk6np	24.25737261	0
sxkb8s	28.50448393	0
sxk3gm	33.29306881	0
sxk8z8	24.49973279	0
sxkb6g	37.86607778	0
sxk8z3	23.52248031	0
sxkbg9	33.81676026	0
sxk9r2	15.98720711	1335
sxkcdh	21.53058475	1200
sxk9r8	16.63317467	0
sxk8xg	27.63014417	800
sxk9c4	12.09772534	0
sxk3t6	26.49382919	0
sxk98b	14.65239543	0
sxk4pq	48.46153657	0
sxk9rt	14.65619587	1465
sxk8zn	20.39575208	917
sxk91w	16.4419431	1507
sxk3s1	31.13237181	0
sxk9mq	8.736353322	0
sxkdke	9.800175752	528
sxk9b7	14.84519502	0
sxk1qy	50.51913498	0
sxk67f	32.71819348	1429
sxkd1k	12.43104876	1423
sxk3m4	28.79177397	0
sxk3ws	21.73075922	0
sxk3rn	21.03031819	0
sx7cmq	85.29339166	0
sxk98s	14.57584987	0
sxk9px	17.06685477	0
sxkc31	20.61380577	0
sxk3se	29.09359922	0
sxk9rf	16.50589299	1068
sxk6pb	16.95922787	1050
sxk3s6	30.10984735	0
sxk40d	72.99902718	516
sxk3p4	24.76703273	1557
sxk3hx	31.19530341	0
sxk9q7	12.20556355	0
sxk96e	11.79189798	0
sxkcu8	30.36584396	0
sxk40j	74.95578696	94
sxk8yv	20.50341183	0
sxkbg0	32.77891742	0
sxk9ds	7.837584369	0
sxk3ey	31.58773336	0
sxkdrk	15.08430083	1435
sxk4rz	47.72434204	0
sxk9hm	13.47021613	0
sxk91w	16.4419431	974
sxk3rx	19.09200105	0
sxk9w4	8.414650727	0
sxkcdm	22.32452159	0
sxk3pu	21.84742512	1387
sxk9b8	14.04809553	137
sxk3jk	29.50444009	1434
sxkd85	21.51589047	537
sxk3z2	18.62558036	0
sxkbsm	37.50840859	1272
sxkbb0	25.44692068	0
sxkbff	31.28142182	0
sxk97p	8.734886467	0
sxk4pr	48.54797121	5
sxk1b2	73.8497343	0
sx7fqy	80.12686062	0
sxk1cm	70.13600973	0
sxk3kd	30.5184303	778
sxkc17	23.50364835	1061
sxkc26	17.97452428	91
sxk97t	9.044871426	1376
sxk97z	7.608227654	0
sxkbg1	32.38188074	630
sxk927	17.79703535	598
sxk932	16.12803429	0
sxk3w0	24.1110906	755
sxkbjz	47.28964506	210
sxkbue	36.11692972	537
sxkd42	8.066731877	1373
sx7chm	89.65909619	1271
sxk66w	37.83204782	0
sxk9ty	6.238181008	0
sxk3rk	20.69480695	85
sxk92d	17.39442954	0
sxk9fx	6.986672907	295
sxk1ud	58.15870528	1602
sxkdsb	12.9406583	307
sxk3w0	24.1110906	0
sxk3z7	18.53096393	0
sxkc23	18.33600596	384
sxkcub	31.28573588	1021
sxk93n	14.47663213	74
sxk3c7	40.64555232	1004
sxk9bb	13.13514185	0
sxk99n	12.46848343	0
sxk99b	11.50456048	183
sxkdjn	7.217061484	1238
sxk4rw	48.46686336	0
sxkc52	30.57842928	1477
sxkdt3	13.90361743	1197
sxkc08	22.71306177	1374
sxkbk0	42.27480516	157
sxk3qd	23.71821414	0
sxk9dx	7.001008099	1604
sxk36u	36.32068117	0
sxkds2	12.82365039	0
sx7fpz	75.97556078	962
sxk3em	33.48590212	0
sx7fmn	86.50886231	1307
sxk9nn	14.34243472	0
sxkbvf	40.37494318	0
sxk92y	15.25485825	0
sxk9t3	7.103358704	0
sxk6mu	26.18646595	1056
sxk3r5	21.79362627	0
sxk9dk	8.62318433	0
sxkb79	40.58784113	0
sxk8z5	22.01132683	0
sxkc2q	16.6751005	0
sx7fvr	87.5541594	0
sxk8zz	21.39877484	694
sxkbbp	21.96358942	0
sxk1em	62.88393783	0
sxk6k4	31.83515346	0
sxk3ek	33.56009962	0
sxk3jq	28.93880598	0
sxk8zb	24.96076521	0
sxk9wj	7.342117868	0
sxk3k3	31.59604978	0
sxk96g	11.3052175	0
sxkd2g	16.25442568	0
sxkdqs	13.21685527	0
sxkbgw	32.02177861	0
sxkc6n	22.55626394	844
sxkb90	31.56394785	1461
sxk6qe	23.41483959	0
sxkb9k	30.10800092	646
sxk9vr	4.328411435	0
sxkbsc	40.48445293	0
sxk938	15.50373185	0
sxk8z3	23.52248031	0
sxkbdx	31.82587636	0
sxk3g8	32.40959946	484
sxkb3x	33.11577608	0
sxk9kc	11.16076352	0
sxkbgc	34.54882349	670
sxkc82	16.12555102	623
sxk3xh	19.9270832	0
sxk1cn	71.06726117	295
sxk1w2	52.1643302	0
sxkdn8	8.735155684	0
sxk906	21.3321221	0
sxk3n5	27.42856294	0
sxk6th	30.84093126	0
sxkcv6	33.07720348	1392
sxkc44	26.07648896	0
sxk99h	12.8259048	0
sxk1ej	63.80404161	1391
sxkbd9	34.47114454	1117
sx7ghd	90.68238912	165
sxk6sy	32.24985209	0
sxkbgh	31.23234218	0
sxk9tx	5.135308269	1541
sxk4hg	57.41952539	1618
sxkc09	22.27162368	0
sxk8yx	18.99948407	844
sxk9p0	19.34040019	0
sxk68c	44.52451741	0
sxkbft	29.40124301	0
sxk3yc	20.41327149	389
sxk3qd	23.71821414	1354
sxk66k	38.3636794	7
sxkbgs	32.71731278	1302
sxk1ge	61.83861593	0
sxk935	15.56285522	916
sxk3p5	24.39328075	0
sxkcdu	24.24635411	0
sxkdeb	12.96965311	0
sxk66w	37.83204782	0
sxk964	13.3789998	0
sxk9nh	15.44854615	1335
sxkd31	14.79048697	0
sxk93w	12.97679126	0
sxk9jw	13.62604966	0
sxkc0b	23.35548465	615
sx7fve	86.0894276	0
sxk6x7	23.61255569	0
sxk8yw	19.55298684	861
sxk923	18.49969931	0
sxk9dr	7.870352679	0
sxkcd9	23.74892705	0
sxk3g2	33.32969191	604
sxkbsk	37.89147499	0
sxkbb2	25.9567876	0
sxk3w1	23.94633035	973
sxk992	13.04317639	0
sxkdqe	12.74260298	0
sxk3nk	26.32137362	152
sxk8wz	23.84578401	0
sxk1uc	57.24966354	0
sxkbuk	35.00908977	0
sxkb6u	37.39319753	255
sxk4jh	56.5554593	627
sxk1t9	54.83386671	600
sxkc41	26.44069534	1049
sxkbsj	36.78870941	0
sx7fvr	87.5541594	698
sxk6ru	19.64141868	1414
sxk90p	19.97469916	0
sxkcfe	22.93398736	716
sxkd49	7.499419983	371
sxk988	15.47663805	0
sxk3ru	19.06014175	1615
sxkc51	29.47094249	0
sxk9k4	10.46275094	58
sxk3jk	29.50444009	619
sxkbft	29.40124301	0
sx7cmz	83.3981698	40
sxk9j5	14.93248072	127
sxk8zt	21.87592025	0
sx7fqy	80.12686062	0
sxk3ev	31.65441195	0
sxkbby	24.23722028	1319
sxkbfb	32.08604908	0
sxk6qe	23.41483959	0
sxk992	13.04317639	0
sxk3qw	22.74750977	0
sxk976	11.08099136	0
sxkc6h	23.01825962	0
sxk3ey	31.58773336	0
sxkbkk	41.15518415	67
sxk3z4	19.46337903	1391
sxk9rc	16.89869433	0
sxk6g7	38.55348922	0
sx7fkq	89.24676688	0
sxkbdx	31.82587636	905
sxk93e	14.17802469	0
sxkc17	23.50364835	1381
sxk929	17.76766892	652
sxk8yx	18.99948407	1215
sxkbbf	26.08341608	0
sxkcfd	22.94356428	0
sxkdkv	11.12566816	0
sxk9tx	5.135308269	0
sxk96m	11.37999906	580
sxk9qq	10.78747137	0
sxk9tx	5.135308269	810
sxk9be	13.9237528	861
sxk37e	33.82528782	277
sxk8ze	22.91255	1623
sxkc6h	23.01825962	405
sxk3gq	33.31942038	0
sxkb9s	30.67943466	512
sxk3c6	40.6521155	0
sxk3z0	19.54278655	0
sxk1rq	48.6991962	0
sxk9px	17.06685477	0
sxk3jh	30.31814193	0
sxk9yv	9.190960857	0
sxk97w	8.467140273	0
sxk99f	10.83244141	0
sxkbvg	40.07130987	1200
sxkb97	30.59540246	420
sxk9bc	13.06242241	1307
sxk8zx	20.8594812	69
sx7fkq	89.24676688	1563
sxkf1t	20.18311939	0
sxk98s	14.57584987	772
sxk6nv	21.2584274	0
sxk8yx	18.99948407	0
sxk9wk	8.446726832	0
sxk3ks	30.12084386	239
sxkc2z	18.05794701	780
sxk9ke	9.835261776	0
sxk9ey	3.63861169	0
sxkbsj	36.78870941	1316
sx7cwf	79.56744716	1085
sxkc6j	22.78022759	193
sxk3rw	19.33647299	134
sxk8z5	22.01132683	0
sxkbue	36.11692972	0
sxk9n5	16.00797692	0
sxkbmb	46.87938381	1101
sxk448	65.58113014	1532
sxk96j	12.00598281	0
sxk9cd	10.25770263	1551
sxkbgg	33.82451699	0
sxkc52	30.57842928	0
sxk699	41.89975638	0
sxk9ee	5.685335548	783
sxk1em	62.88393783	1623
sxk98y	13.36358644	0
sxkb84	28.60530424	955
sxk9jz	13.39713746	0
sxk1ej	63.80404161	0
sxkb6u	37.39319753	0
sxk993	12.73737971	0
sxk96f	11.83936189	0
sxkdhx	7.365710694	0
sxk3hw	31.44147951	0
sxkb3x	33.11577608	0
sxk3pw	21.81689225	307
sxk98b	14.65239543	639
sxk9jk	14.53101269	715
sxk9zj	10.10509139	0
sxk3qw	22.74750977	0
sxkf1g	20.74367773	0
sxkd81	20.70314271	0
sxk3bt	43.42296823	679
sxkf42	22.21687099	917
sxk1ge	61.83861593	0
sxkd1v	11.13102738	0
sxk9pz	17.72151095	690
sxk3k8	30.95924828	0
sxk9mk	9.864425749	1458
sxk6xg	22.19861689	89
sxk3k1	32.46183064	0
sxk3bf	42.49486076	87
sxk9d0	10.77124213	0
sxk67h	35.7121239	289
sxkd41	9.152792472	0
sxk3jw	28.11558195	0
sxkc0h	19.66903485	0
sxk9rh	13.61069751	0
sxkbkk	41.15518415	0
sxk9m5	10.15662967	0
sxk6ts	29.25563755	0
sxk6kd	30.07587946	0
sxk1tg	53.78810493	293
sx7fw5	83.32688185	1600
sxkbbz	23.79258003	0
sxhzvq	49.91737004	0
sxk3ws	21.73075922	0
sxk9qr	10.34390434	0
sxk3rw	19.33647299	0
sx7fvd	85.95607515	0
sxk3xn	19.6979444	241
sxk1bz	72.0032972	974
sxk9t3	7.103358704	1095
sxk6nu	21.09201313	0
sxk3he	32.23836752	145
sxkfnc	38.76114528	0
sxk6e0	36.49259631	0
sxk3f5	37.88123253	709
sxk99b	11.50456048	0
sxk9kx	7.400702069	0
sxk3qf	22.89330493	0
sxkbg8	34.19725727	313
sxkc1h	22.40113116	0
sxk3yf	20.38440046	0
sxk9gc	2.307033181	1607
sxk93g	13.52678541	0
sxk901	22.41508678	272
sxk9pm	17.36876398	1634
sxk9kh	9.246457125	0
sxk6tk	30.04464028	769
sx7fw6	82.31770373	420
sxkdrk	15.08430083	0
sxk9sy	3.533637267	416
sxk903	21.775394	913
sxkc02	22.09048733	0
sxkf1v	21.06298191	0
sxk9pp	15.83766247	0
sxk94r	14.35043968	0
sxkdd4	16.35960953	0
sxk997	12.19495687	0
sxk9kc	11.16076352	0
sxkc38	22.50478442	0
sx7ghd	90.68238912	0
sxk6tu	28.47452894	0
sxk9p0	19.34040019	1015
sxk3bb	42.53409555	1005
sxk3sb	28.56556503	979
sx7fw6	82.31770373	0
sxkd9d	17.3755372	0
sxkc5k	29.32499819	0
sxk656	33.53629247	0
sxkc5n	27.93399711	0
sxk3rd	20.46840824	0
sxk4px	47.63772713	0
sxk3sn	30.67060771	347
sx7ctz	83.0819672	0
sxkbdx	31.82587636	0
sxkc0h	19.66903485	0
sxk92x	15.75320641	596
sxk9ft	6.66160858	203
sxkc4r	25.20611908	0
sxkbg7	32.33761579	0
sxk1qy	50.51913498	0
sxkbby	24.23722028	0
sxk6dt	39.34625232	0
sxk960	14.35174409	642
sxk3kb	30.106676	0
sxkcdg	24.36315084	0
sxk979	11.39106978	0
sxk8xj	25.33204007	0
sxk92u	15.92858555	0
sxk408	72.94393066	711
sxkb9v	30.80295887	1321
sxk9n1	17.13750764	0
sxk8z2	24.06526736	638
sxk1gh	63.6815887	486
sxk9tc	8.190021562	927
sxkbbv	24.68899778	214
sxk6g7	38.55348922	0
sxk964	13.3789998	0
sxkbkx	40.57830641	0
sxk396	41.03392379	0
sxk1g5	63.68148557	1104
sxkd82	19.6068263	0
sxkbsm	37.50840859	0
sxk4pg	46.41535859	0
sxk3kb	30.106676	1623
sxk1wh	52.81481264	770
sxk6tk	30.04464028	976
sxk3se	29.09359922	0
sxk66m	38.53209317	0
sxk9sy	3.533637267	0
sxk6xc	21.41191677	0
sxk9dr	7.870352679	0
sxk8zd	23.43760123	1545
sxk1cm	70.13600973	0
sxk9q8	14.23307886	788
sxk1u5	59.99574532	0
sxkc2u	18.88139885	0
sxk6ms	27.03432668	637
sxk3ff	35.12400887	1090
sxkb79	40.58784113	704
sxk60q	44.81585021	0
sxk6gf	36.66055472	0
sxkde4	14.81317048	0
sxk3m2	28.41457575	0
sxk9k0	11.68043142	1232
sx7cxs	76.72442516	0
sxkc6p	22.34679166	520
sxk1dt	65.64437989	179
sxk3sg	28.18549609	0
sxk6u2	34.45517945	0
sxk971	11.98910754	0
sxkc65	23.2699283	1445
sxk9w9	10.234798	0
sxkbu7	35.34522715	0
sxk9c1	12.14538245	908
sxk9ng	17.29388795	0
sxk933	15.69227902	1631
sxk99c	11.15681218	0
sxk3qe	23.45540217	0
sxk3n4	27.76171715	1444
sxk3w6	22.9005064	0
sx7cu3	88.57620824	0
sxk972	12.23739814	0
sxk1x9	47.51270148	0
sxk9jt	14.20456755	0
sxk9n4	16.57108491	0
sx7cv1	85.81197598	1136
sxk9dc	8.32683043	1505
sxk4x8	48.77021193	0
sxkc2c	19.84074167	0
sxkcdd	23.59750303	0
sxk1ch	71.05246142	0
sxk3nx	24.58116634	783
sx7fmm	85.51937852	1538
sxk3f5	37.88123253	0
sx7fqv	80.0439173	0
sxk9q3	13.20803513	601
sxk3z3	18.57397613	0
sxk99z	9.63821424	769
sxk3wg	20.96359402	0
sxkd46	8.601933952	1041
sxk8z5	22.01132683	0
sxk3r9	20.78675844	1279
sxkc6h	23.01825962	0
sxk9cb	9.49995787	1318
sxkd82	19.6068263	0
sxk3sb	28.56556503	0
sx7fqz	80.21437921	254
sxk9kh	9.246457125	0
sxkc3p	18.90364385	1125
sxk99e	11.35725807	0
sxk97p	8.734886467	0
sxkcez	27.65573057	0
sxkc2z	18.05794701	884
sxk1w2	52.1643302	1537
sxk96q	10.92626022	888
sxk1rs	48.01278547	1454
sxk9ny	15.76445243	0
sxk9mn	8.400140197	0
sxk6t2	28.88243645	0
sxk387	44.6170462	0
sxkc2b	20.18745145	585
sxk983	16.06760757	0
sxkd84	21.10457153	0
sxk3r2	21.89349138	0
sxk9zn	10.19570661	0
sxk3x0	20.59663272	0
sx7cxk	77.64469537	79
sx7fkq	89.24676688	1134
sxkdm0	8.365921585	0
sxkbk7	41.58560264	0
sxkbkk	41.15518415	1359
sxkc5t	29.85549306	1418
sxk3jf	28.53583425	150
sxk3qx	22.53979885	0
sxk96m	11.37999906	0
sxk409	72.96892229	0
sxk9qd	13.25164809	0
sxk9tb	8.65748883	0
sxkc6p	22.34679166	1062
sxkd46	8.601933952	1314
sxk3we	21.86077909	0
sxk93h	15.18480003	876
sxkcdd	23.59750303	1454
sxkd94	18.51920994	503
sxkber	33.87810898	0
sxk93y	12.26210292	435
sx7fw9	81.31086559	0
sxkb6u	37.39319753	205
sxk1qz	50.42426444	283
sxk98b	14.65239543	1406
sxk3rh	21.52483242	596
sxk60q	44.81585021	212
sxkfn0	35.95539039	0
sxk1xc	46.59873949	0
sxk9jd	15.95487288	561
sxk3jt	28.40135365	1172
sxk3ru	19.06014175	0
sxk90p	19.97469916	0
sxk99c	11.15681218	0
sxk9my	9.640891123	990
sxk9jv	14.52370675	1444
sx7ghb	89.48540402	1103
sxk9qn	10.18862992	0
sxk9j4	15.5345337	0
sxk9dw	7.239074718	0
sx7ghc	89.63831259	0
sxkc41	26.44069534	0
sxkb8z	27.52948624	0
sxk9dq	8.082921534	457
sxk1uf	57.23728534	0
sxkb99	32.12850007	661
sxk9w8	10.61272334	0
sxk9mt	9.690386429	624
sxk9n1	17.13750764	0
sxkc9b	21.27596188	0
sxk6gf	36.66055472	0
sxk3x8	18.86418835	0
sxk9tx	5.135308269	0
sxkb87	28.53350633	0
sxk9w0	9.263460317	0
sxk3n5	27.42856294	0
sxk96s	11.28862949	0
sxk1w0	53.07858931	0
sxk9c5	12.08086853	253
sx7cwf	79.56744716	0
sxk6x1	23.62605049	0
sxk96m	11.37999906	1508
sx7fr5	78.97798578	1540
sxk4r8	47.73356405	583
sxkd31	14.79048697	1509
sxk9kw	8.008696016	212
sxk9r9	16.21096081	0
sxkdj2	4.698683104	0
sxk96j	12.00598281	0
sxkc0u	21.69155772	0
sxkdt8	13.59029261	0
sxk9mu	10.6739207	1268
sxkfnc	38.76114528	0
sxk91k	17.97372504	0
sxk393	41.12233495	855
sxk9px	17.06685477	0
sxk1te	54.70606761	970
sxkc25	16.86825788	231
sxk1rs	48.01278547	1399
sxk6x7	23.61255569	1345
sxk1fp	67.39970326	0
sxk3qg	22.62098203	562
sxk96g	11.3052175	1300
sxk98h	16.34635715	896
sxkbs6	38.67523154	219
sxk988	15.47663805	0
sxk9r5	14.03109455	0
sxk6ws	26.18559758	1010
sx7ckf	87.40132487	811
sxk90e	20.25183356	1218
sxk9q5	11.67952382	620
sxk983	16.06760757	670
sxk90m	20.05544997	0
sxk3g9	32.37906199	1259
sxk3k8	30.95924828	1126
sxk99k	11.96146782	0
sxk652	33.40565506	0
sxk9t2	7.637537328	487
sxk6sg	31.35451355	0
sxkc01	21.02247803	0
sxk6dt	39.34625232	1025
sxkbbz	23.79258003	0
sxkd2u	16.62856415	0
sxk92s	16.69016974	672
sxkdmy	12.80499895	1540
sxk99c	11.15681218	1369
sxk454	63.80537967	93
sxk9we	9.551797004	0
sxkceq	25.88694914	0
sxkbfu	30.50461073	258
sxkb74	38.92520337	589
sxk98v	13.51790893	0
sxkc01	21.02247803	0
sxk6tu	28.47452894	0
sxk9j5	14.93248072	1627
sxkbm6	44.68619105	923
sxk8ye	21.23258556	0
sxk66w	37.83204782	0
sxk9b8	14.04809553	1076
sxk8yv	20.50341183	1409
sxk4rz	47.72434204	0
sxk985	16.51829366	0
sxk3qy	21.88633739	522
sxkcdm	22.32452159	0
sxk1fq	66.46228364	935
sxk3m2	28.41457575	1595
sxk9bu	13.01531238	0
sxk9vr	4.328411435	0
sxkc53	30.25140433	0
sx7fwj	83.54391238	481
sxk6tu	28.47452894	0
sxk92m	17.15287696	0
sxkd31	14.79048697	276
sxkbmp	41.97757928	0
sxk8zb	24.96076521	0
sxk9pb	20.91191944	0
sxk1u6	59.08012671	0
sxkcd1	21.97295038	0
sxk3ph	24.02927719	220
sxkc2u	18.88139885	764
sxk9d7	8.943926778	0
sxk33v	39.76170727	1320
sxk6ry	20.31294965	0
sxk90p	19.97469916	0
